,Dollar,Ibovespa,Selic
2007-01-01,2.132499933242798,,13.25
2007-01-02,2.13100004196167,45383.0,13.25
2007-01-03,2.134500026702881,44445.0,13.25
2007-01-04,2.1389999389648438,44020.0,13.25
2007-01-05,2.1470000743865967,42245.0,13.25
2007-01-08,2.1465001106262207,42830.0,13.25
2007-01-09,2.1489999294281006,42007.0,13.25
2007-01-10,2.149600028991699,42336.0,13.25
2007-01-11,2.1414999961853027,42670.0,13.25
2007-01-12,2.13700008392334,43095.0,13.25
2007-01-15,2.1368000507354736,42919.0,13.25
2007-01-16,2.1396000385284424,42624.0,13.25
2007-01-17,2.129699945449829,42735.0,13.25
2007-01-18,2.128000020980835,42478.0,13.25
2007-01-19,2.124500036239624,43428.0,13.25
2007-01-22,2.128499984741211,43553.0,13.25
2007-01-23,2.130500078201294,44177.0,13.25
2007-01-24,2.125,44687.0,13.25
2007-01-25,2.127000093460083,,13.0
2007-01-26,2.131500005722046,44412.0,13.0
2007-01-29,2.134000062942505,43573.0,13.0
2007-01-30,2.128999948501587,44044.0,13.0
2007-01-31,2.120300054550171,44642.0,13.0
2007-02-01,2.1031999588012695,44815.0,13.0
2007-02-02,2.0924999713897705,44998.0,13.0
2007-02-05,2.0896999835968018,45286.0,13.0
2007-02-06,2.0824999809265137,45352.0,13.0
2007-02-07,2.0820000171661377,44588.0,13.0
2007-02-08,2.0940001010894775,44892.0,13.0
2007-02-09,2.0975000858306885,44284.0,13.0
2007-02-12,2.1105000972747803,43935.0,13.0
2007-02-13,2.105299949645996,45197.0,13.0
2007-02-14,2.0950000286102295,45996.0,13.0
2007-02-15,2.0840001106262207,45955.0,13.0
2007-02-16,2.0876998901367188,45849.0,13.0
2007-02-19,2.088099956512451,,13.0
2007-02-20,2.0885000228881836,,13.0
2007-02-21,2.0771000385284424,46090.0,13.0
2007-02-22,2.071500062942505,46452.0,13.0
2007-02-23,2.0845000743865967,46016.0,13.0
2007-02-26,2.0808000564575195,46207.0,13.0
2007-02-27,2.1015000343322754,43145.0,13.0
2007-02-28,2.115999937057495,43892.0,13.0
2007-03-01,2.119499921798706,43517.0,13.0
2007-03-02,2.117500066757202,42370.0,13.0
2007-03-05,2.135499954223633,41179.0,13.0
2007-03-06,2.120500087738037,43218.0,13.0
2007-03-07,2.1105000972747803,42667.0,13.0
2007-03-08,2.1013998985290527,43466.0,12.75
2007-03-09,2.0920000076293945,44133.0,12.75
2007-03-12,2.0875000953674316,44249.0,12.75
2007-03-13,2.0924999713897705,42749.0,12.75
2007-03-14,2.1075000762939453,43288.0,12.75
2007-03-15,2.085200071334839,43278.0,12.75
2007-03-16,2.0889999866485596,42730.0,12.75
2007-03-19,2.073699951171875,43713.0,12.75
2007-03-20,2.072000026702881,44351.0,12.75
2007-03-21,2.0676000118255615,45631.0,12.75
2007-03-22,2.0534000396728516,45424.0,12.75
2007-03-23,2.062000036239624,45533.0,12.75
2007-03-26,2.058000087738037,45645.0,12.75
2007-03-27,2.0592000484466553,45207.0,12.75
2007-03-28,2.070499897003174,44484.0,12.75
2007-03-29,2.0510001182556152,45355.0,12.75
2007-03-30,2.055000066757202,45805.0,12.75
2007-04-02,2.0434999465942383,45597.0,12.75
2007-04-03,2.033900022506714,46288.0,12.75
2007-04-04,2.028700113296509,46554.0,12.75
2007-04-05,2.027400016784668,46647.0,12.75
2007-04-06,2.027400016784668,,12.75
2007-04-09,2.027400016784668,46855.0,12.75
2007-04-10,2.0269999504089355,47174.0,12.75
2007-04-11,2.0274999141693115,46939.0,12.75
2007-04-12,2.0339999198913574,47347.0,12.75
2007-04-13,2.0164999961853027,47926.0,12.75
2007-04-16,2.0280001163482666,48921.0,12.75
2007-04-17,2.028700113296509,48755.0,12.75
2007-04-18,2.0334999561309814,48710.0,12.75
2007-04-19,2.02810001373291,48762.0,12.5
